,,,,id,Source ,Target,,source,target
B-R: PAX6_VSX2,5.59828524,99.2562223,-4.148100646,1,16,20,,PAX6,VSX2
B-R: PAX6_SIX6,4.96512072,85.5497682,-4.106863246,2,16,21,,PAX6,VSX2
B-R: LHX3_LHX9,0.93923677,11.6173043,-3.628642635,3,7,8,,LHX3,LHX9
R-B: LHX9_ISL1,0.94470186,11.2936818,-3.579512976,4,8,4,,LHX9,ISL1
B-B: PAX6_SIX3,13.4191314,150.541037,-3.487793619,5,16,22,,PAX6,VSX2
R-R: MAFA_NEUROD1,2.18458684,21.0284473,-3.266909966,6,10,13,,MAFA,NEUROD1
P-R: MSX1_LHX9,0.90731404,6.21088879,-2.775125853,7,11,8,,MSX1,LHX9
B-P: LHX3_RHOXF1,1.00408919,2.69570347,-1.424774385,8,7,18,,LHX3,RHOXF1
R-P: LHX9_MSX2,0.90929404,2.32893797,-1.356853405,9,8,12,,LHX9,MSX2
B-B: PAX6_RAX,8.73894192,18.6398531,-1.092859972,10,16,17,,PAX6,RAX
B-B: PAX6_LHX2,14.8625734,19.9318364,-0.423390708,11,16,6,,PAX6,LHX2
B-B: LHX3_RAX,11.3702945,13.5454361,-0.252537215,12,5,17,,LHX3,RAX
B-P: LHX3_ALX4,2.09591458,1.44580079,0.535711138,13,5,2,,LHX3,ALX4
B-B: LHX2_LHX3,24.5090593,14.2150242,0.785898563,14,6,7,,LHX2,LHX3
P-B: MSX1_LHX2,12.7777227,6.88339414,0.892438713,15,11,6,,MSX1,LHX2
B-B: LHX2_ISL1,28.8666988,13.7334909,1.071707743,16,6,4,,LHX2,ISL1
B-B: LHX3_ISL1,65.6513013,20.4504868,1.682688421,17,7,4,,LHX3,ISL1
B-P: LHX3_LMX1B,6.46312711,1.55232684,2.057800016,18,7,9,,LHX3,LMX1B
B-B: LHX3_DMBX1,4.0521645,0.95704176,2.082038957,19,7,3,,LHX3,DMBX1
B-B: DMBX1_OTX2,4.18908854,0.97264642,2.106649032,20,3,14,,DMBX1,OTX2
P-P: MSX1_MSX2,10.6483566,2.15209809,2.306815053,21,11,12,,MSX1,MSX2
B-P: LHX2_MSX2,13.1819621,2.41750343,2.446975287,22,6,12,,LHX2,MSX2
P-P: ALX4_ALX1,0.96095849,0.10682957,3.169163115,23,2,1,,ALX4,ALX1
B-P: LHX3_ALX1,1.70969328,0.1147384,3.897317352,24,7,1,,LHX3,ALX1
P-P: PAX3_MSX1,13.3360312,0.69082607,4.27086306,25,15,11,,PAX3,MSX1
