graph_labels,node_label,g1exp,g2exp,graphs
Pineal,ALX1,0.870769733,0.057522425,1
Pineal,ALX4,1.07198816,0.748007808,1
Retina_Pineal,DMBX1,2.117871667,0.489394583,"1,2"
Retina_Pineal,ISL1,110.2202287,19.46843925,"1,2"
Pineal,LBX3,3.607232333,0.044147558,1
Retina_Pineal,LHX2,16.608194,10.60848,"1,2"
Retina_Pineal,LHX3,46.74811612,21.5368725,"1,2"
Retina,LHX9,0.474383913,7.95386875,2
Pineal,LMX1B,3.471541273,0.8051812,1
Retina,MAFA,1.154847467,14.7824075,2
Pineal,MSX1,10.38301157,5.09449985,1
Pineal,MSX2,10.92761953,1.364190325,1
Retina_Pineal,NEUROD1,20.16547933,36.41491195,"1,2"
Retina_Pineal,OTX2,190.161656,77.49100833,"1,2"
Pineal,PAX3,18.63638187,0.370535792,1
Retina_Pineal,PAX6,13.44900267,164.533975,"1,2"
Retina_Pineal,RAX,6.472253033,9.879547492,"1,2"
Pineal,RHOXF1,0.50749476,1.4378365,1
Pineal,SPIC,2.029705047,0.068666017,1
Retina,VSX2,3.53485176,71.06260833,2
