13px	18px	2005.99px	993.996px	2052	1210
0	1487019111976	translate(1003,497)scale(1,1)translate(0,0)scale(1)
1	1487019118583	translate(1003,497)scale(0.7,0.7)translate(0,0)scale(1)
2	1487019136321	translate(1001,497)scale(0.6,0.6)translate(0,0)scale(1)
3	1487019145919	translate(1001,497)scale(1, 1)scale(1,1)translate(-500.5, 0)translate(0,0)scale(1)	translate(1001,497)scale(-1, 1)scale(1,1)translate(-500.5, 0)translate(0,0)scale(1)
4	1487019152246	translate(1001,497)scale(1, 1)scale(0.7,0.7)translate(-500.5, 0)translate(0,0)scale(1)	translate(1001,497)scale(-1, 1)scale(0.7,0.7)translate(-500.5, 0)translate(0,0)scale(1)
5	1487019196678	translate(1001,497)scale(1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(0,0)scale(1)	translate(1001,497)scale(-1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(0,0)scale(1)
5	1487019198258	translate(1001,497)scale(1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(2,0)scale(1)	translate(1001,497)scale(-1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(2,0)scale(1)
5	1487019198274	translate(1001,497)scale(1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(5,0)scale(1)	translate(1001,497)scale(-1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(5,0)scale(1)
5	1487019198350	translate(1001,497)scale(1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(14,-4)scale(1)	translate(1001,497)scale(-1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(14,-4)scale(1)
5	1487019198366	translate(1001,497)scale(1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(17,-4)scale(1)	translate(1001,497)scale(-1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(17,-4)scale(1)
5	1487019198432	translate(1001,497)scale(1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(21,-7)scale(1)	translate(1001,497)scale(-1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(21,-7)scale(1)
5	1487019198446	translate(1001,497)scale(1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(21,-7)scale(1)	translate(1001,497)scale(-1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(21,-7)scale(1)
5	1487019198513	translate(1001,497)scale(1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(24,-10)scale(1)	translate(1001,497)scale(-1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(24,-10)scale(1)
5	1487019198578	translate(1001,497)scale(1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(26,-10)scale(1)	translate(1001,497)scale(-1, 1)scale(0.6,0.6)translate(-500.5, 0)translate(26,-10)scale(1)
6	1487019205401	translate(500.5,497)scale(1,1)translate(0,0)scale(1)	translate(1501.5,497)scale(1,1)translate(0,0)scale(1)
