13px	18px	2005.99px	993.996px	2052	1210
0	1487698409734	translate(1003,497)scale(1,1)translate(0,0)scale(1)
1	1487698416138	translate(1003,497)scale(0.7,0.7)translate(0,0)scale(1)
2	1487698448333	translate(1003,497)scale(0.6,0.6)translate(0,0)scale(1)
2	1487698449493	translate(1003,497)scale(0.6,0.6)translate(0,-1)scale(1)
2	1487698449521	translate(1003,497)scale(0.6,0.6)translate(-5,-13)scale(1)
2	1487698449577	translate(1003,497)scale(0.6,0.6)translate(-51,-102)scale(1)
2	1487698449597	translate(1003,497)scale(0.6,0.6)translate(-69,-124)scale(1)
2	1487698449649	translate(1003,497)scale(0.6,0.6)translate(-102,-159)scale(1)
2	1487698449701	translate(1003,497)scale(0.6,0.6)translate(-120,-187)scale(1)
2	1487698449754	translate(1003,497)scale(0.6,0.6)translate(-138,-211)scale(1)
2	1487698449774	translate(1003,497)scale(0.6,0.6)translate(-146,-214)scale(1)
2	1487698449826	translate(1003,497)scale(0.6,0.6)translate(-170,-232)scale(1)
2	1487698449842	translate(1003,497)scale(0.6,0.6)translate(-179,-235)scale(1)
2	1487698449890	translate(1003,497)scale(0.6,0.6)translate(-183,-238)scale(1)
3	1487698454887	translate(1003,497)scale(1, 1)scale(1,1)translate(-501.5, 0)translate(0,0)scale(1)	translate(1003,497)scale(-1, 1)scale(1,1)translate(-501.5, 0)translate(0,0)scale(1)
4	1487698459491	translate(1003,497)scale(1, 1)scale(0.7,0.7)translate(-501.5, 0)translate(0,0)scale(1)	translate(1003,497)scale(-1, 1)scale(0.7,0.7)translate(-501.5, 0)translate(0,0)scale(1)
5	1487698464186	translate(1003,497)scale(1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(0,0)scale(1)	translate(1003,497)scale(-1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(0,0)scale(1)
5	1487698465155	translate(1003,497)scale(1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(0,-3)scale(1)	translate(1003,497)scale(-1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(0,-3)scale(1)
5	1487698465227	translate(1003,497)scale(1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(108,-119)scale(1)	translate(1003,497)scale(-1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(108,-119)scale(1)
5	1487698465239	translate(1003,497)scale(1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(140,-144)scale(1)	translate(1003,497)scale(-1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(140,-144)scale(1)
5	1487698465303	translate(1003,497)scale(1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(188,-185)scale(1)	translate(1003,497)scale(-1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(188,-185)scale(1)
5	1487698465375	translate(1003,497)scale(1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(228,-225)scale(1)	translate(1003,497)scale(-1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(228,-225)scale(1)
5	1487698465391	translate(1003,497)scale(1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(233,-230)scale(1)	translate(1003,497)scale(-1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(233,-230)scale(1)
5	1487698465451	translate(1003,497)scale(1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(254,-246)scale(1)	translate(1003,497)scale(-1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(254,-246)scale(1)
5	1487698465467	translate(1003,497)scale(1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(260,-249)scale(1)	translate(1003,497)scale(-1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(260,-249)scale(1)
5	1487698465527	translate(1003,497)scale(1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(263,-255)scale(1)	translate(1003,497)scale(-1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(263,-255)scale(1)
5	1487698465567	translate(1003,497)scale(1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(264,-255)scale(1)	translate(1003,497)scale(-1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(264,-255)scale(1)
5	1487698466124	translate(1003,497)scale(1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(270,-267)scale(1)	translate(1003,497)scale(-1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(270,-267)scale(1)
5	1487698466359	translate(1003,497)scale(1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(426,-439)scale(1)	translate(1003,497)scale(-1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(426,-439)scale(1)
5	1487698466445	translate(1003,497)scale(1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(426,-439)scale(1)	translate(1003,497)scale(-1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(426,-439)scale(1)
6	1487698470725	translate(501.5,497)scale(1,1)translate(0,0)scale(1)	translate(1504.5,497)scale(1,1)translate(0,0)scale(1)
7	1487698476230	translate(501.5,497)scale(0.7,0.7)translate(0,0)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(0,0)scale(1)
7	1487698476981	translate(501.5,497)scale(0.7,0.7)translate(0,-4)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(0,-4)scale(1)
7	1487698476993	translate(501.5,497)scale(0.7,0.7)translate(0,-7)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(0,-7)scale(1)
7	1487698477073	translate(501.5,497)scale(0.7,0.7)translate(-60,-93)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-60,-93)scale(1)
7	1487698477089	translate(501.5,497)scale(0.7,0.7)translate(-108,-133)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-108,-133)scale(1)
7	1487698477130	translate(501.5,497)scale(0.7,0.7)translate(-267,-238)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-267,-238)scale(1)
7	1487698477170	translate(501.5,497)scale(0.7,0.7)translate(-420,-318)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-420,-318)scale(1)
7	1487698477178	translate(501.5,497)scale(0.7,0.7)translate(-446,-328)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-446,-328)scale(1)
7	1487698477186	translate(501.5,497)scale(0.7,0.7)translate(-476,-339)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-476,-339)scale(1)
7	1487698477222	translate(501.5,497)scale(0.7,0.7)translate(-552,-376)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-552,-376)scale(1)
7	1487698477230	translate(501.5,497)scale(0.7,0.7)translate(-563,-382)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-563,-382)scale(1)
7	1487698477262	translate(501.5,497)scale(0.7,0.7)translate(-591,-397)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-591,-397)scale(1)
7	1487698477270	translate(501.5,497)scale(0.7,0.7)translate(-600,-400)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-600,-400)scale(1)
7	1487698477298	translate(501.5,497)scale(0.7,0.7)translate(-641,-412)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-641,-412)scale(1)
7	1487698477330	translate(501.5,497)scale(0.7,0.7)translate(-671,-418)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-671,-418)scale(1)
7	1487698477382	translate(501.5,497)scale(0.7,0.7)translate(-720,-429)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-720,-429)scale(1)
7	1487698477410	translate(501.5,497)scale(0.7,0.7)translate(-744,-432)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-744,-432)scale(1)
7	1487698477418	translate(501.5,497)scale(0.7,0.7)translate(-744,-432)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-744,-432)scale(1)
7	1487698477446	translate(501.5,497)scale(0.7,0.7)translate(-749,-432)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-749,-432)scale(1)
7	1487698477478	translate(501.5,497)scale(0.7,0.7)translate(-752,-432)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-752,-432)scale(1)
7	1487698477486	translate(501.5,497)scale(0.7,0.7)translate(-755,-430)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-755,-430)scale(1)
7	1487698477514	translate(501.5,497)scale(0.7,0.7)translate(-759,-429)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-759,-429)scale(1)
7	1487698477546	translate(501.5,497)scale(0.7,0.7)translate(-761,-429)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-761,-429)scale(1)
7	1487698477578	translate(501.5,497)scale(0.7,0.7)translate(-764,-427)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-764,-427)scale(1)
8	1487698482637	translate(501.5,497)scale(0.6,0.6)translate(0,0)scale(1)	translate(1504.5,497)scale(0.6,0.6)translate(0,0)scale(1)
8	1487698483024	translate(501.5,497)scale(0.6,0.6)translate(-9,-3)scale(1)	translate(1504.5,497)scale(0.6,0.6)translate(-9,-3)scale(1)
8	1487698483140	translate(501.5,497)scale(0.6,0.6)translate(-112,-62)scale(1)	translate(1504.5,497)scale(0.6,0.6)translate(-112,-62)scale(1)
