source,target,log2
PAX6,VSX2,-4.148100646
PAX6,VSX2,-4.106863246
LHX3,LHX9,-3.628642635
LHX9,ISL1,-3.579512976
PAX6,VSX2,-3.487793619
MAFA,NEUROD1,-3.266909966
MSX1,LHX9,-2.775125853
LHX3,RHOXF1,-1.424774385
LHX9,MSX2,-1.356853405
PAX6,RAX,-1.092859972
PAX6,LHX2,-0.423390708
LHX3,RAX,-0.252537215
LHX3,ALX4,0.535711138
LHX2,LHX3,0.785898563
MSX1,LHX2,0.892438713
LHX2,ISL1,1.071707743
LHX3,ISL1,1.682688421
LHX3,LMX1B,2.057800016
LHX3,DMBX1,2.082038957
DMBX1,OTX2,2.106649032
MSX1,MSX2,2.306815053
LHX2,MSX2,2.446975287
ALX4,ALX1,3.169163115
LHX3,ALX1,3.897317352
PAX3,MSX1,4.27086306
